ECOICOP2 CODE,SUBCLASS,DIVISION,2026 WEIGHT (%),MATCHING (1=YES),MATCHED WEIGHT (%),TOTAL MATCHED WEIGHT (%)
CP01189,Other sugar confectionery and desserts n.e.c.,FOOD AND NON-ALCOHOLIC BEVERAGES,0.17,1,0.17,
CP01191,Ready-made food,FOOD AND NON-ALCOHOLIC BEVERAGES,0.27,1,0.27,
CP01192,Baby food,FOOD AND NON-ALCOHOLIC BEVERAGES,0.17,1,0.17,
CP01193,"Salt, condiments and sauces",FOOD AND NON-ALCOHOLIC BEVERAGES,0.27,1,0.27,
CP01194,"Spices, culinary herbs and seeds",FOOD AND NON-ALCOHOLIC BEVERAGES,0.06,1,0.06,
CP01199,Other food products n.e.c.,FOOD AND NON-ALCOHOLIC BEVERAGES,0.09,1,0.09,
CP01210,Fruit and vegetable juices,FOOD AND NON-ALCOHOLIC BEVERAGES,0.23,1,0.23,
CP01220,Coffee and coffee substitutes,FOOD AND NON-ALCOHOLIC BEVERAGES,0.46,1,0.46,
CP01230,"Tea, mat? and other plant-derived products for infusion",FOOD AND NON-ALCOHOLIC BEVERAGES,0.05,1,0.05,
CP01250,Water,FOOD AND NON-ALCOHOLIC BEVERAGES,0.34,1,0.34,
CP01260,Soft drinks,FOOD AND NON-ALCOHOLIC BEVERAGES,0.49,1,0.49,
CP01290,Other non-alcoholic beverages,FOOD AND NON-ALCOHOLIC BEVERAGES,0.11,1,0.11,
CP02110,Spirits and liquors,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",0.53,1,0.53,
CP02121,Wine from grapes,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",0.48,1,0.48,
CP02130,Beer,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",0.8,1,0.8,
CP02301,Cigarettes,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",3.01,1,3.01,
CP02302,Cigars,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",0.05,1,0.05,
CP02309,Other tobacco products,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",0.41,1,0.41,
CP03121,Garments for men or boys,CLOTHING AND FOOTWEAR,2.23,1,2.23,
CP03122,Garments for women or girls,CLOTHING AND FOOTWEAR,2.48,1,2.48,
CP03123,Garments for infants (under 2 years of age),CLOTHING AND FOOTWEAR,0.21,1,0.21,
CP03124,School uniforms,CLOTHING AND FOOTWEAR,0.09,1,0.09,
CP03131,Other articles of clothing,CLOTHING AND FOOTWEAR,0.09,0,0,
CP03141,Cleaning of clothing,CLOTHING AND FOOTWEAR,0.05,1,0.05,
CP03142,"Repair, tailoring and hire of clothing",CLOTHING AND FOOTWEAR,0.02,0,0,
CP03211,Footwear for men,CLOTHING AND FOOTWEAR,0.53,1,0.53,
CP03212,Footwear for women,CLOTHING AND FOOTWEAR,0.56,1,0.56,
CP03213,Footwear for infants and children,CLOTHING AND FOOTWEAR,0.2,1,0.2,
CP04110,Actual rental payments made by tenants for main residence,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",4.2,0,0,
CP04121,Actual rental payments made by tenants for secondary residences,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",0.06,0,0,
CP04311,Materials for the maintenance and repair of the dwelling,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",0.2,0,0,
CP04312,Security equipment,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",0.05,0,0,
CP04320,"Services for the maintenance, repair and security of the dwelling","HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",1.68,0,0,
CP04411,Water supply delivered through network systems,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",0.56,1,0.56,
CP04420,Refuse collection,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",0.35,0,0,
CP04431,Sewage collection through sewer systems,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",0.12,1,0.12,
CP04441,Charges for maintenance of multi-occupied buildings,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",0.18,0,0,
CP04510,Electricity,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",3.37,1,3.37,
CP04522,Liquefied hydrocarbons,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",0.38,1,0.38,
CP04530,Liquid fuels,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",0.47,1,0.47,
CP04542,"Wood fuel, including pellets and briquettes","HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",0.12,0,0,
CP04543,Charcoal,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",0.13,1,0.13,
CP05111,Household furniture,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0.83,1,0.83,
CP05112,Garden and camping furniture,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0.12,1,0.12,
CP05113,Lighting equipment,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0.05,1,0.05,
CP05114,"Furnishings, loose carpets and rugs","FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0.11,1,0.11,
CP05211,Furnishing fabrics and curtains,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0.11,1,0.11,
CP05212,Bed linen and bedding,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0.09,1,0.09,
CP05213,Table linen and bathroom linen,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0.03,1,0.03,
CP05311,Major kitchen appliances,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0.4,1,0.4,
CP05312,Major laundry appliances,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0.19,1,0.19,
CP05313,Heaters and air conditioners,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0.31,1,0.31,
CP05314,Cleaning equipment,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0.02,1,0.02,
CP05321,Small appliances for the cooking and processing of food,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0.05,1,0.05,
CP05322,Small appliances for the preparation of beverages,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0.04,1,0.04,
CP05329,Other small household appliances,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0.04,1,0.04,
CP05330,"Repair, installation and hire of household appliances","FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0.02,1,0.02,
CP05401,"Glassware, crystal ware, ceramic ware and china ware","FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0.11,1,0.11,
CP05402,"Cutlery, flatware and silverware","FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0.02,1,0.02,
CP05403,Kitchen utensils and articles,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0.21,1,0.21,
CP05510,Motorized tools and equipment,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0.17,1,0.17,
CP05521,Non-motorized tools,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0.05,1,0.05,
CP05522,Miscellaneous accessories,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0.13,1,0.13,
CP05611,Household cleaning and maintenance products,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",1.15,1,1.15,
CP05619,Other non-durable household goods,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0.56,1,0.56,
CP05621,Domestic services provided by paid staff,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",1.35,0,0,
CP05629,Other household services,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0.03,0,0,
CP06111,"Medicines, vaccines and other pharmaceutical preparations",HEALTH,1.05,1,1.05,
CP06112,Herbal medicines and homeopathic products,HEALTH,0.04,1,0.04,
CP06121,Medical diagnostic products,HEALTH,0.02,1,0.02,
CP06122,Preventive and protective devices,HEALTH,0.02,0,0,
CP06123,Treatment devices for personal use,HEALTH,0.02,1,0.02,
CP06131,Assistive products for vision,HEALTH,0.1,1,0.1,
CP06132,Assistive products for hearing and communication,HEALTH,0.02,0,0,
CP06133,Assistive products for mobility and daily living,HEALTH,0.02,0,0,
CP06211,Immunization services,HEALTH,0.03,0,0,
CP06219,Other preventive care services,HEALTH,0.05,0,0,
CP06221,Dental preventive services,HEALTH,0.02,1,0.02,
CP06229,Other outpatient dental services,HEALTH,0.73,1,0.73,
CP06231,Outpatient curative and rehabilitative services,HEALTH,0.99,0,0,
CP06310,Inpatient curative and rehabilitative services,HEALTH,0.27,0,0,
CP06320,Inpatient long-term care services,HEALTH,0.12,0,0,
CP06410,Diagnostic imaging services and medical laboratory services,HEALTH,0.21,0,0,
CP07111,New motor cars,TRANSPORT,2.43,1,2.43,
CP07112,Second-hand motor cars,TRANSPORT,1.75,1,1.75,
CP07120,Motorcycles,TRANSPORT,0.11,1,0.11,
CP07130,Bicycles,TRANSPORT,0.02,1,0.02,
CP07211,Tyres,TRANSPORT,0.38,1,0.38,
CP07212,Parts for personal transport equipment,TRANSPORT,0.22,1,0.22,
CP07213,Accessories for personal transport equipment,TRANSPORT,0.04,1,0.04,
CP07221,Diesel,TRANSPORT,1.72,1,1.72,
CP07222,Petrol,TRANSPORT,4.24,1,4.24,
CP07224,Lubricants,TRANSPORT,0.27,1,0.27,
CP07230,Maintenance and repair of personal transport equipment,TRANSPORT,1.19,1,1.19,
CP07241,Parking services,TRANSPORT,0.04,0,0,
CP07243,"Driving lessons, tests, licences and roadworthiness tests",TRANSPORT,0.14,1,0.14,
CP07244,Hire of personal transport equipment without driver,TRANSPORT,0.02,0,0,
CP07321,Passenger transport by bus and coach,TRANSPORT,0.05,1,0.05,
CP07322,Passenger transport by taxi and hired vehicle with driver,TRANSPORT,0.06,1,0.06,
