Date,Division,CPI Division,Daily Change (%)
2024-07-02,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",101.0982,0.0
2024-07-02,"RECREATION, SPORT AND CULTURE",95.0927,0.0
2024-07-02,RESTAURANTS AND ACCOMODATION SERVICES,93.8908,0.0
2024-07-02,TRANSPORT,100.4063,0.0
2024-07-03,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",96.3338,0.0361
2024-07-03,CLOTHING AND FOOTWEAR,114.0499,0.0
2024-07-03,EDUCATION SERVICES,98.9399,0.0
2024-07-03,FOOD AND NON-ALCOHOLIC BEVERAGES,98.488,0.0
2024-07-03,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",97.1947,-0.1077
2024-07-03,HEALTH,98.026,0.0
2024-07-03,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",97.2466,0.0094
2024-07-03,INFORMATION AND COMMUNICATION,95.2753,0.0
2024-07-03,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",101.0982,0.0
2024-07-03,"RECREATION, SPORT AND CULTURE",94.7205,-0.3915
2024-07-03,RESTAURANTS AND ACCOMODATION SERVICES,93.8908,0.0
2024-07-03,TRANSPORT,100.4064,0.0001
2024-07-04,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",96.4033,0.0721
2024-07-04,CLOTHING AND FOOTWEAR,114.0499,0.0
2024-07-04,EDUCATION SERVICES,98.9399,0.0
2024-07-04,FOOD AND NON-ALCOHOLIC BEVERAGES,98.488,0.0
2024-07-04,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",97.1947,0.0
2024-07-04,HEALTH,98.026,0.0
2024-07-04,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",97.2487,0.0021
2024-07-04,INFORMATION AND COMMUNICATION,95.2753,0.0
2024-07-04,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",101.1597,0.0609
2024-07-04,"RECREATION, SPORT AND CULTURE",94.7375,0.018
2024-07-04,RESTAURANTS AND ACCOMODATION SERVICES,93.8908,0.0
2024-07-04,TRANSPORT,100.4064,0.0
2024-07-05,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",96.4728,0.0721
2024-07-05,CLOTHING AND FOOTWEAR,110.2842,-3.3018
2024-07-05,EDUCATION SERVICES,98.9399,0.0
2024-07-05,FOOD AND NON-ALCOHOLIC BEVERAGES,98.488,0.0
2024-07-05,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",97.1947,0.0
2024-07-05,HEALTH,98.026,0.0
2024-07-05,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",97.2495,0.0008
2024-07-05,INFORMATION AND COMMUNICATION,95.2753,0.0
2024-07-05,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",101.1597,0.0
2024-07-05,"RECREATION, SPORT AND CULTURE",94.7375,0.0
2024-07-05,RESTAURANTS AND ACCOMODATION SERVICES,93.8908,0.0
2024-07-05,TRANSPORT,101.9446,1.5319
2024-07-06,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",96.5075,0.036
2024-07-06,CLOTHING AND FOOTWEAR,110.2842,0.0
2024-07-06,EDUCATION SERVICES,98.9399,0.0
2024-07-06,FOOD AND NON-ALCOHOLIC BEVERAGES,98.488,0.0
2024-07-06,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",97.1947,0.0
2024-07-06,HEALTH,98.026,0.0
2024-07-06,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",97.2498,0.0004
2024-07-06,INFORMATION AND COMMUNICATION,95.2753,0.0
2024-07-06,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",101.1597,0.0
2024-07-06,"RECREATION, SPORT AND CULTURE",94.7375,0.0
2024-07-06,RESTAURANTS AND ACCOMODATION SERVICES,93.8908,0.0
2024-07-06,TRANSPORT,101.9446,0.0
2024-07-07,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",96.5075,0.0
2024-07-07,CLOTHING AND FOOTWEAR,110.2842,0.0
2024-07-07,EDUCATION SERVICES,98.9399,0.0
2024-07-07,FOOD AND NON-ALCOHOLIC BEVERAGES,98.488,0.0
2024-07-07,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",97.1947,0.0
2024-07-07,HEALTH,98.026,0.0
2024-07-07,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",97.2498,0.0
