Date,Division,CPI Division,Daily Change (%)
2025-01-13,HEALTH,98.3091,0.0
2025-01-13,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",97.0381,-0.0009
2025-01-13,INFORMATION AND COMMUNICATION,94.3657,0.0
2025-01-13,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.8059,0.0
2025-01-13,"RECREATION, SPORT AND CULTURE",100.6921,1.9792
2025-01-13,RESTAURANTS AND ACCOMODATION SERVICES,94.5733,0.0
2025-01-13,TRANSPORT,100.4769,0.0
2025-01-14,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",95.9174,0.0362
2025-01-14,CLOTHING AND FOOTWEAR,103.6596,0.0
2025-01-14,EDUCATION SERVICES,99.3253,0.0
2025-01-14,FOOD AND NON-ALCOHOLIC BEVERAGES,102.1973,0.1629
2025-01-14,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",100.5342,-0.1892
2025-01-14,HEALTH,98.3091,0.0
2025-01-14,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",97.0219,-0.0166
2025-01-14,INFORMATION AND COMMUNICATION,94.3657,0.0
2025-01-14,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.8059,0.0
2025-01-14,"RECREATION, SPORT AND CULTURE",100.6921,0.0
2025-01-14,RESTAURANTS AND ACCOMODATION SERVICES,94.5733,0.0
2025-01-14,TRANSPORT,100.4771,0.0002
2025-01-15,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",96.0217,0.1087
2025-01-15,CLOTHING AND FOOTWEAR,103.6596,0.0
2025-01-15,EDUCATION SERVICES,99.3253,0.0
2025-01-15,FOOD AND NON-ALCOHOLIC BEVERAGES,101.7574,-0.4304
2025-01-15,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",100.5342,0.0
2025-01-15,HEALTH,98.3091,0.0
2025-01-15,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",97.0277,0.0059
2025-01-15,INFORMATION AND COMMUNICATION,94.3657,0.0
2025-01-15,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.4377,-0.3652
2025-01-15,"RECREATION, SPORT AND CULTURE",100.6921,0.0
2025-01-15,RESTAURANTS AND ACCOMODATION SERVICES,94.5733,0.0
2025-01-15,TRANSPORT,100.4771,0.0
2025-01-16,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",95.9869,-0.0362
2025-01-16,CLOTHING AND FOOTWEAR,103.7054,0.0441
2025-01-16,EDUCATION SERVICES,99.3253,0.0
2025-01-16,FOOD AND NON-ALCOHOLIC BEVERAGES,101.7574,0.0
2025-01-16,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",100.1626,-0.3696
2025-01-16,HEALTH,98.3091,0.0
2025-01-16,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",97.031,0.0034
2025-01-16,INFORMATION AND COMMUNICATION,94.3657,0.0
2025-01-16,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.4852,0.0473
2025-01-16,"RECREATION, SPORT AND CULTURE",98.7379,-1.9408
2025-01-16,RESTAURANTS AND ACCOMODATION SERVICES,94.5733,0.0
2025-01-16,TRANSPORT,100.4771,0.0
2025-01-17,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",96.0217,0.0362
2025-01-17,CLOTHING AND FOOTWEAR,103.7054,0.0
2025-01-17,EDUCATION SERVICES,99.3253,0.0
2025-01-17,FOOD AND NON-ALCOHOLIC BEVERAGES,101.6928,-0.0635
2025-01-17,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",100.2191,0.0564
2025-01-17,HEALTH,98.3091,0.0
2025-01-17,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",97.0432,0.0126
2025-01-17,INFORMATION AND COMMUNICATION,94.3657,0.0
2025-01-17,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.4852,0.0
2025-01-17,"RECREATION, SPORT AND CULTURE",98.7379,0.0
2025-01-17,RESTAURANTS AND ACCOMODATION SERVICES,94.5733,0.0
2025-01-17,TRANSPORT,100.4772,0.0001
2025-01-18,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",96.0217,0.0
2025-01-18,CLOTHING AND FOOTWEAR,103.7054,0.0
2025-01-18,EDUCATION SERVICES,99.3253,0.0
2025-01-18,FOOD AND NON-ALCOHOLIC BEVERAGES,101.6928,0.0
2025-01-18,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",100.1626,-0.0564
2025-01-18,HEALTH,98.3091,0.0
2025-01-18,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",97.0471,0.004
2025-01-18,INFORMATION AND COMMUNICATION,94.3657,0.0
2025-01-18,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.4852,0.0
2025-01-18,"RECREATION, SPORT AND CULTURE",98.7379,0.0
2025-01-18,RESTAURANTS AND ACCOMODATION SERVICES,94.5733,0.0
2025-01-18,TRANSPORT,100.67,0.1919
2025-01-19,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",95.9522,-0.0724
2025-01-19,CLOTHING AND FOOTWEAR,103.7054,0.0
2025-01-19,EDUCATION SERVICES,99.3253,0.0
2025-01-19,FOOD AND NON-ALCOHOLIC BEVERAGES,101.6928,0.0
2025-01-19,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",100.305,0.1422
2025-01-19,HEALTH,98.3091,0.0
2025-01-19,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",97.0486,0.0015
2025-01-19,INFORMATION AND COMMUNICATION,94.3657,0.0
2025-01-19,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.4852,0.0
2025-01-19,"RECREATION, SPORT AND CULTURE",98.7379,0.0
2025-01-19,RESTAURANTS AND ACCOMODATION SERVICES,94.5733,0.0
2025-01-19,TRANSPORT,100.4772,-0.1915
2025-01-20,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",96.0217,0.0724
2025-01-20,CLOTHING AND FOOTWEAR,103.7054,0.0
2025-01-20,EDUCATION SERVICES,99.3253,0.0
2025-01-20,FOOD AND NON-ALCOHOLIC BEVERAGES,101.8292,0.1341
2025-01-20,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",100.1626,-0.142
2025-01-20,HEALTH,98.3091,0.0
2025-01-20,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",97.0535,0.0051
2025-01-20,INFORMATION AND COMMUNICATION,94.3657,0.0
2025-01-20,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.4852,0.0
2025-01-20,"RECREATION, SPORT AND CULTURE",98.7379,0.0
2025-01-20,RESTAURANTS AND ACCOMODATION SERVICES,95.2457,0.711
2025-01-20,TRANSPORT,100.4772,0.0
2025-01-21,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",96.1607,0.1448
2025-01-21,CLOTHING AND FOOTWEAR,103.7054,0.0
2025-01-21,EDUCATION SERVICES,99.3253,0.0
2025-01-21,FOOD AND NON-ALCOHOLIC BEVERAGES,101.8335,0.0043
2025-01-21,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",100.1626,0.0
2025-01-21,HEALTH,98.3091,0.0
2025-01-21,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",97.0568,0.0034
2025-01-21,INFORMATION AND COMMUNICATION,94.3657,0.0
2025-01-21,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.4377,-0.0473
2025-01-21,"RECREATION, SPORT AND CULTURE",98.7379,0.0
2025-01-21,RESTAURANTS AND ACCOMODATION SERVICES,95.2457,0.0
2025-01-21,TRANSPORT,100.4773,0.0001
2025-01-22,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",96.1954,0.0361
2025-01-22,CLOTHING AND FOOTWEAR,103.7054,0.0
2025-01-22,EDUCATION SERVICES,99.3253,0.0
2025-01-22,FOOD AND NON-ALCOHOLIC BEVERAGES,101.9404,0.1049
2025-01-22,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",100.3888,0.2259
2025-01-22,HEALTH,98.3091,0.0
2025-01-22,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",97.0613,0.0046
2025-01-22,INFORMATION AND COMMUNICATION,94.3657,0.0
2025-01-22,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.4377,0.0
2025-01-22,"RECREATION, SPORT AND CULTURE",98.7379,0.0
2025-01-22,RESTAURANTS AND ACCOMODATION SERVICES,95.2457,0.0
2025-01-22,TRANSPORT,100.4774,0.0001
2025-01-23,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",96.1607,-0.0361
2025-01-23,CLOTHING AND FOOTWEAR,103.7054,0.0
2025-01-23,EDUCATION SERVICES,99.3253,0.0
2025-01-23,FOOD AND NON-ALCOHOLIC BEVERAGES,101.8361,-0.1022
2025-01-23,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",100.106,-0.2818
2025-01-23,HEALTH,98.3091,0.0
2025-01-23,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",97.0623,0.001
2025-01-23,INFORMATION AND COMMUNICATION,94.3657,0.0
2025-01-23,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.4852,0.0473
2025-01-23,"RECREATION, SPORT AND CULTURE",98.7365,-0.0014
2025-01-23,RESTAURANTS AND ACCOMODATION SERVICES,95.2457,0.0
2025-01-23,TRANSPORT,100.4774,0.0
2025-01-24,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",96.2302,0.0723
2025-01-24,CLOTHING AND FOOTWEAR,103.7054,0.0
2025-01-24,EDUCATION SERVICES,99.3253,0.0
2025-01-24,FOOD AND NON-ALCOHOLIC BEVERAGES,101.8607,0.0242
2025-01-24,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",99.8003,-0.3053
2025-01-24,HEALTH,98.3091,0.0
2025-01-24,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",97.0627,0.0004
2025-01-24,INFORMATION AND COMMUNICATION,94.3657,0.0
2025-01-24,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.4377,-0.0473
2025-01-24,"RECREATION, SPORT AND CULTURE",98.7365,0.0
2025-01-24,RESTAURANTS AND ACCOMODATION SERVICES,95.2457,0.0
2025-01-24,TRANSPORT,100.4774,0.0
2025-01-25,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",96.3344,0.1083
2025-01-25,CLOTHING AND FOOTWEAR,103.7054,0.0
2025-01-25,EDUCATION SERVICES,99.3253,0.0
2025-01-25,FOOD AND NON-ALCOHOLIC BEVERAGES,101.3705,-0.4813
2025-01-25,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",99.095,-0.7067
2025-01-25,HEALTH,98.3091,0.0
2025-01-25,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",97.0626,-0.0001
2025-01-25,INFORMATION AND COMMUNICATION,94.3657,0.0
2025-01-25,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.4377,0.0
2025-01-25,"RECREATION, SPORT AND CULTURE",98.7365,0.0
2025-01-25,RESTAURANTS AND ACCOMODATION SERVICES,95.2457,0.0
2025-01-25,TRANSPORT,100.4774,0.0
2025-01-26,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",96.4093,0.0777
2025-01-26,CLOTHING AND FOOTWEAR,103.7054,0.0
2025-01-26,EDUCATION SERVICES,99.3253,0.0
2025-01-26,FOOD AND NON-ALCOHOLIC BEVERAGES,101.4431,0.0716
2025-01-26,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",99.095,0.0
2025-01-26,HEALTH,98.3091,0.0
2025-01-26,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",97.0626,0.0
2025-01-26,INFORMATION AND COMMUNICATION,94.3657,0.0
2025-01-26,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.4377,0.0
2025-01-26,"RECREATION, SPORT AND CULTURE",98.7365,0.0
2025-01-26,RESTAURANTS AND ACCOMODATION SERVICES,95.2457,0.0
2025-01-26,TRANSPORT,100.4774,0.0
2025-01-27,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",96.3397,-0.0722
2025-01-27,CLOTHING AND FOOTWEAR,103.7054,0.0
2025-01-27,EDUCATION SERVICES,99.3253,0.0
2025-01-27,FOOD AND NON-ALCOHOLIC BEVERAGES,101.4431,0.0
2025-01-27,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",99.095,0.0
2025-01-27,HEALTH,98.3091,0.0
2025-01-27,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",97.0626,0.0
2025-01-27,INFORMATION AND COMMUNICATION,94.3657,0.0
2025-01-27,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.4377,0.0
2025-01-27,"RECREATION, SPORT AND CULTURE",98.7365,0.0
2025-01-27,RESTAURANTS AND ACCOMODATION SERVICES,95.2457,0.0
2025-01-27,TRANSPORT,100.4773,-0.0001
2025-01-28,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",96.305,-0.0361
2025-01-28,CLOTHING AND FOOTWEAR,103.7054,0.0
2025-01-28,EDUCATION SERVICES,99.3253,0.0
2025-01-28,FOOD AND NON-ALCOHOLIC BEVERAGES,101.2121,-0.2278
2025-01-28,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",99.095,0.0
2025-01-28,HEALTH,98.3091,0.0
2025-01-28,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",97.063,0.0004
2025-01-28,INFORMATION AND COMMUNICATION,94.3657,0.0
2025-01-28,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.4377,0.0
2025-01-28,"RECREATION, SPORT AND CULTURE",98.7365,0.0
2025-01-28,RESTAURANTS AND ACCOMODATION SERVICES,95.3062,0.0635
2025-01-28,TRANSPORT,100.4774,0.0001
2025-01-29,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",96.305,0.0
2025-01-29,CLOTHING AND FOOTWEAR,103.7054,0.0
2025-01-29,EDUCATION SERVICES,99.3253,0.0
2025-01-29,FOOD AND NON-ALCOHOLIC BEVERAGES,101.2147,0.0026
2025-01-29,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",99.095,0.0
2025-01-29,HEALTH,98.3091,0.0
2025-01-29,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",97.0634,0.0005
2025-01-29,INFORMATION AND COMMUNICATION,94.3657,0.0
2025-01-29,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.4377,0.0
2025-01-29,"RECREATION, SPORT AND CULTURE",98.7365,0.0
2025-01-29,RESTAURANTS AND ACCOMODATION SERVICES,95.3062,0.0
2025-01-29,TRANSPORT,100.4774,0.0
2025-01-30,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",96.2702,-0.0361
2025-01-30,CLOTHING AND FOOTWEAR,103.7054,0.0
2025-01-30,EDUCATION SERVICES,99.3253,0.0
2025-01-30,FOOD AND NON-ALCOHOLIC BEVERAGES,101.2612,0.0459
2025-01-30,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",99.095,0.0
2025-01-30,HEALTH,98.3089,-0.0002
2025-01-30,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",97.0634,0.0
2025-01-30,INFORMATION AND COMMUNICATION,94.3657,0.0
2025-01-30,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.4377,0.0
2025-01-30,"RECREATION, SPORT AND CULTURE",98.7365,0.0
2025-01-30,RESTAURANTS AND ACCOMODATION SERVICES,95.3062,0.0
2025-01-30,TRANSPORT,100.4774,0.0
2025-01-31,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",96.2355,-0.0361
2025-01-31,CLOTHING AND FOOTWEAR,103.7054,0.0
2025-01-31,EDUCATION SERVICES,99.3253,0.0
2025-01-31,FOOD AND NON-ALCOHOLIC BEVERAGES,101.2303,-0.0305
2025-01-31,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",99.095,0.0
2025-01-31,HEALTH,98.3089,0.0
2025-01-31,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",97.0637,0.0003
2025-01-31,INFORMATION AND COMMUNICATION,94.3657,0.0
2025-01-31,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.4377,0.0
2025-01-31,"RECREATION, SPORT AND CULTURE",98.7365,0.0
2025-01-31,RESTAURANTS AND ACCOMODATION SERVICES,95.3062,0.0
2025-01-31,TRANSPORT,100.4774,0.0
2025-02-01,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",96.2007,-0.0361
2025-02-01,CLOTHING AND FOOTWEAR,103.7054,0.0
2025-02-01,EDUCATION SERVICES,99.3253,0.0
2025-02-01,FOOD AND NON-ALCOHOLIC BEVERAGES,101.5002,0.2666
2025-02-01,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",99.1537,0.0592
2025-02-01,HEALTH,98.3089,0.0
2025-02-01,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",97.0651,0.0014
2025-02-01,INFORMATION AND COMMUNICATION,94.3657,0.0
2025-02-01,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.4377,0.0
2025-02-01,"RECREATION, SPORT AND CULTURE",98.7365,0.0
2025-02-01,RESTAURANTS AND ACCOMODATION SERVICES,95.3062,0.0
2025-02-01,TRANSPORT,100.4774,0.0
2025-02-02,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",96.2007,0.0
2025-02-02,CLOTHING AND FOOTWEAR,103.7054,0.0
2025-02-02,EDUCATION SERVICES,99.3253,0.0
2025-02-02,FOOD AND NON-ALCOHOLIC BEVERAGES,101.3711,-0.1272
2025-02-02,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",99.2375,0.0845
2025-02-02,HEALTH,98.3089,0.0
2025-02-02,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",97.066,0.0009
2025-02-02,INFORMATION AND COMMUNICATION,94.3657,0.0
2025-02-02,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.4377,0.0
2025-02-02,"RECREATION, SPORT AND CULTURE",98.7365,0.0
2025-02-02,RESTAURANTS AND ACCOMODATION SERVICES,95.3062,0.0
2025-02-02,TRANSPORT,100.4774,0.0
2025-02-03,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",95.9922,-0.2167
2025-02-03,CLOTHING AND FOOTWEAR,103.7054,0.0
2025-02-03,EDUCATION SERVICES,99.3253,0.0
2025-02-03,FOOD AND NON-ALCOHOLIC BEVERAGES,101.2812,-0.0886
2025-02-03,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",99.1081,-0.1304
2025-02-03,HEALTH,98.3089,0.0
2025-02-03,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",97.0662,0.0002
2025-02-03,INFORMATION AND COMMUNICATION,97.4177,3.2342
2025-02-03,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.4377,0.0
2025-02-03,"RECREATION, SPORT AND CULTURE",98.7365,0.0
2025-02-03,RESTAURANTS AND ACCOMODATION SERVICES,95.3062,0.0
2025-02-03,TRANSPORT,100.4774,0.0
2025-02-04,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",96.0965,0.1086
2025-02-04,CLOTHING AND FOOTWEAR,103.7054,0.0
2025-02-04,EDUCATION SERVICES,99.3253,0.0
2025-02-04,FOOD AND NON-ALCOHOLIC BEVERAGES,101.9799,0.6898
2025-02-04,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",98.7698,-0.3413
2025-02-04,HEALTH,98.3089,0.0
2025-02-04,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",97.0666,0.0004
2025-02-04,INFORMATION AND COMMUNICATION,99.7333,2.377
2025-02-04,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.4571,0.0193
2025-02-04,"RECREATION, SPORT AND CULTURE",98.7365,0.0
2025-02-04,RESTAURANTS AND ACCOMODATION SERVICES,95.6102,0.319
2025-02-04,TRANSPORT,100.4774,0.0
2025-02-05,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",96.2355,0.1447
2025-02-05,CLOTHING AND FOOTWEAR,103.7054,0.0
2025-02-05,EDUCATION SERVICES,99.3253,0.0
2025-02-05,FOOD AND NON-ALCOHOLIC BEVERAGES,101.8812,-0.0968
2025-02-05,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",98.7698,0.0
2025-02-05,HEALTH,98.3089,0.0
2025-02-05,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",97.0666,0.0
2025-02-05,INFORMATION AND COMMUNICATION,99.7333,0.0
2025-02-05,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.791,0.3324
2025-02-05,"RECREATION, SPORT AND CULTURE",98.7365,0.0
2025-02-05,RESTAURANTS AND ACCOMODATION SERVICES,95.6102,0.0
2025-02-05,TRANSPORT,100.4774,0.0
2025-02-06,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",96.2355,0.0
2025-02-06,CLOTHING AND FOOTWEAR,103.7054,0.0
2025-02-06,EDUCATION SERVICES,99.3253,0.0
2025-02-06,FOOD AND NON-ALCOHOLIC BEVERAGES,101.9265,0.0444
2025-02-06,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",98.7112,-0.0594
2025-02-06,HEALTH,98.3089,0.0
2025-02-06,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",97.0666,0.0001
2025-02-06,INFORMATION AND COMMUNICATION,99.7333,0.0
2025-02-06,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.791,0.0
2025-02-06,"RECREATION, SPORT AND CULTURE",98.7365,0.0
2025-02-06,RESTAURANTS AND ACCOMODATION SERVICES,95.6102,0.0
2025-02-06,TRANSPORT,100.4774,0.0
2025-02-07,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",96.2355,0.0
2025-02-07,CLOTHING AND FOOTWEAR,103.7054,0.0
2025-02-07,EDUCATION SERVICES,99.3253,0.0
2025-02-07,FOOD AND NON-ALCOHOLIC BEVERAGES,101.927,0.0005
2025-02-07,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",98.7698,0.0594
2025-02-07,HEALTH,98.3089,0.0
2025-02-07,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",97.0666,0.0
2025-02-07,INFORMATION AND COMMUNICATION,99.7333,0.0
2025-02-07,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.791,0.0
2025-02-07,"RECREATION, SPORT AND CULTURE",98.7365,0.0
2025-02-07,RESTAURANTS AND ACCOMODATION SERVICES,95.6102,0.0
2025-02-07,TRANSPORT,100.4774,0.0
2025-02-08,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",96.166,-0.0722
2025-02-08,CLOTHING AND FOOTWEAR,103.7054,0.0
2025-02-08,EDUCATION SERVICES,99.3253,0.0
2025-02-08,FOOD AND NON-ALCOHOLIC BEVERAGES,101.7801,-0.1441
2025-02-08,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",98.7112,-0.0594
2025-02-08,HEALTH,98.3089,0.0
2025-02-08,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",97.0669,0.0003
2025-02-08,INFORMATION AND COMMUNICATION,99.7333,0.0
2025-02-08,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.791,0.0
2025-02-08,"RECREATION, SPORT AND CULTURE",98.7365,0.0
2025-02-08,RESTAURANTS AND ACCOMODATION SERVICES,95.6102,0.0
2025-02-08,TRANSPORT,100.4774,0.0
2025-02-09,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",96.1312,-0.0361
2025-02-09,CLOTHING AND FOOTWEAR,103.7054,0.0
2025-02-09,EDUCATION SERVICES,99.3253,0.0
2025-02-09,FOOD AND NON-ALCOHOLIC BEVERAGES,101.6445,-0.1332
2025-02-09,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",98.7112,0.0
2025-02-09,HEALTH,98.3089,0.0
2025-02-09,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",97.0669,0.0
2025-02-09,INFORMATION AND COMMUNICATION,99.7333,0.0
2025-02-09,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.791,0.0
2025-02-09,"RECREATION, SPORT AND CULTURE",98.7365,0.0
2025-02-09,RESTAURANTS AND ACCOMODATION SERVICES,95.6102,0.0
2025-02-09,TRANSPORT,100.4774,0.0
2025-02-10,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",96.1312,0.0
2025-02-10,CLOTHING AND FOOTWEAR,103.7054,0.0
2025-02-10,EDUCATION SERVICES,99.3253,0.0
2025-02-10,FOOD AND NON-ALCOHOLIC BEVERAGES,101.6427,-0.0017
2025-02-10,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",98.7112,0.0
2025-02-10,HEALTH,98.3089,0.0
2025-02-10,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",97.0668,-0.0001
2025-02-10,INFORMATION AND COMMUNICATION,99.7333,0.0
