Date,Division,Subclass,Price,Weight,Weight_Price_Subclass,Weight_Price_Division,CPI Division,Daily Change (%)
2026-06-24,FOOD AND NON-ALCOHOLIC BEVERAGES,"Jams, marmalades, fruit jellies, pures and pastes, and honey",3.821428571428572,0.0009,0.0034392857142857,0.7940687167582418,100.0,
2026-06-24,FOOD AND NON-ALCOHOLIC BEVERAGES,"Leafy or stem vegetables, fresh or chilled",3.05,0.0032,0.00976,0.7940687167582418,100.0,
2026-06-24,FOOD AND NON-ALCOHOLIC BEVERAGES,"Macaroni, noodles, couscous and similar pasta products",1.59125,0.0024,0.003819,0.7940687167582418,100.0,
2026-06-24,FOOD AND NON-ALCOHOLIC BEVERAGES,Margarine and similar preparations,3.668333333333333,0.0006,0.002201,0.7940687167582418,100.0,
2026-06-24,FOOD AND NON-ALCOHOLIC BEVERAGES,"Meat of bovine animals, fresh, chilled or frozen",13.45,0.0015,0.020175,0.7940687167582418,100.0,
2026-06-24,FOOD AND NON-ALCOHOLIC BEVERAGES,"Meat of goats, lambs and sheep, fresh, chilled or frozen",13.95,0.0035,0.048825,0.7940687167582418,100.0,
2026-06-24,FOOD AND NON-ALCOHOLIC BEVERAGES,"Meat of pigs, fresh, chilled or frozen",5.3133333333333335,0.0095,0.0504766666666666,0.7940687167582418,100.0,
2026-06-24,FOOD AND NON-ALCOHOLIC BEVERAGES,"Meat of poultry, fresh, chilled or frozen",6.919999999999999,0.0085,0.05882,0.7940687167582418,100.0,
2026-06-24,FOOD AND NON-ALCOHOLIC BEVERAGES,"Meat, dried, salted, in brine or smoked",3.515625,0.0046,0.016171875,0.7940687167582418,100.0,
2026-06-24,FOOD AND NON-ALCOHOLIC BEVERAGES,Milk-based dessert and beverages,2.956666666666667,0.0008,0.0023653333333333,0.7940687167582418,100.0,
2026-06-24,FOOD AND NON-ALCOHOLIC BEVERAGES,Non-animal milk,2.0625,0.0007,0.00144375,0.7940687167582418,100.0,
2026-06-24,FOOD AND NON-ALCOHOLIC BEVERAGES,"Nut pures, nut butters and nut pastes",2.935,0.0006,0.001761,0.7940687167582418,100.0,
2026-06-24,FOOD AND NON-ALCOHOLIC BEVERAGES,"Nuts, in shell or shelled",3.2133333333333334,0.0029,0.0093186666666666,0.7940687167582418,100.0,
2026-06-24,FOOD AND NON-ALCOHOLIC BEVERAGES,Olive oil,11.62,0.0029,0.033698,0.7940687167582418,100.0,
2026-06-24,FOOD AND NON-ALCOHOLIC BEVERAGES,Other bakery products,3.19,0.0161,0.0513589999999999,0.7940687167582418,100.0,
2026-06-24,FOOD AND NON-ALCOHOLIC BEVERAGES,Other food products n.e.c.,1.75,0.0009,0.001575,0.7940687167582418,100.0,
2026-06-24,FOOD AND NON-ALCOHOLIC BEVERAGES,"Other fruits, fresh",6.3375,0.0032,0.02028,0.7940687167582418,100.0,
2026-06-24,FOOD AND NON-ALCOHOLIC BEVERAGES,Other milk and cream,1.8483333333333332,0.0012,0.002218,0.7940687167582418,100.0,
2026-06-24,FOOD AND NON-ALCOHOLIC BEVERAGES,Other milled cereal and grain products,3.3125,0.0007,0.00231875,0.7940687167582418,100.0,
2026-06-24,FOOD AND NON-ALCOHOLIC BEVERAGES,Other non-alcoholic beverages,1.1125,0.0011,0.00122375,0.7940687167582418,100.0,
2026-06-24,FOOD AND NON-ALCOHOLIC BEVERAGES,"Other seafood, live, fresh, chilled or frozen",6.3475,0.0015,0.00952125,0.7940687167582418,100.0,
2026-06-24,FOOD AND NON-ALCOHOLIC BEVERAGES,Other sugar confectionery and desserts n.e.c.,2.0130000000000003,0.0017,0.0034221,0.7940687167582418,100.0,
2026-06-24,FOOD AND NON-ALCOHOLIC BEVERAGES,Other sugars and sugar substitutes,3.6633333333333327,0.0003,0.0010989999999999,0.7940687167582418,100.0,
2026-06-24,FOOD AND NON-ALCOHOLIC BEVERAGES,"Other vegetables, fresh or chilled",2.138,0.0021,0.0044897999999999,0.7940687167582418,100.0,
2026-06-24,FOOD AND NON-ALCOHOLIC BEVERAGES,Potatoes,3.53,0.0023,0.008119,0.7940687167582418,100.0,
2026-06-24,FOOD AND NON-ALCOHOLIC BEVERAGES,"Preparations of meat, offal, blood and other parts of slaughtered animals",11.45,0.0036,0.04122,0.7940687167582418,100.0,
2026-06-24,FOOD AND NON-ALCOHOLIC BEVERAGES,Pulses,3.2675,0.0012,0.003921,0.7940687167582418,100.0,
2026-06-24,FOOD AND NON-ALCOHOLIC BEVERAGES,Raw and whole milk,3.0650000000000004,0.0024,0.007356,0.7940687167582418,100.0,
2026-06-24,FOOD AND NON-ALCOHOLIC BEVERAGES,Ready-made food,4.805,0.0027,0.0129735,0.7940687167582418,100.0,
2026-06-24,FOOD AND NON-ALCOHOLIC BEVERAGES,"Salt, condiments and sauces",1.8116666666666663,0.0027,0.0048915,0.7940687167582418,100.0,
2026-06-24,FOOD AND NON-ALCOHOLIC BEVERAGES,Skimmed milk,2.375,0.0036,0.00855,0.7940687167582418,100.0,
2026-06-24,FOOD AND NON-ALCOHOLIC BEVERAGES,Soft drinks,4.793333333333333,0.0049,0.0234873333333333,0.7940687167582418,100.0,
2026-06-24,FOOD AND NON-ALCOHOLIC BEVERAGES,"Spices, culinary herbs and seeds",1.133846153846154,0.0006,0.0006803076923076,0.7940687167582418,100.0,
2026-06-24,FOOD AND NON-ALCOHOLIC BEVERAGES,"Stone fruits and pome fruits, fresh",3.3250000000000006,0.0041,0.0136325,0.7940687167582418,100.0,
2026-06-24,FOOD AND NON-ALCOHOLIC BEVERAGES,"Tea, mate and other plant-derived products for infusion",1.82,0.0005,0.0009099999999999,0.7940687167582418,100.0,
2026-06-24,FOOD AND NON-ALCOHOLIC BEVERAGES,"Vegetables, tubers, plantains and cooking bananas, frozen",3.5,0.0011,0.00385,0.7940687167582418,100.0,
2026-06-24,FOOD AND NON-ALCOHOLIC BEVERAGES,"Vegetables, tubers, plantains, cooking bananas and pulses, ground, and in other preparations",1.0,0.0038,0.0038,0.7940687167582418,100.0,
2026-06-24,FOOD AND NON-ALCOHOLIC BEVERAGES,Water,3.083333333333333,0.0034,0.0104833333333333,0.7940687167582418,100.0,
2026-06-24,FOOD AND NON-ALCOHOLIC BEVERAGES,Yoghurt and similar products,4.465999999999999,0.0047,0.0209901999999999,0.7940687167582418,100.0,
2026-06-24,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",Bed linen and bedding,82.0,0.0009,0.0738,5.097070844065657,100.0,
2026-06-24,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",Cleaning equipment,70.77166666666666,0.0002,0.0141543333333333,5.097070844065657,100.0,
2026-06-24,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE","Cutlery, flatware and silverware",10.74,0.0002,0.002148,5.097070844065657,100.0,
2026-06-24,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",Furnishing fabrics and curtains,59.0,0.0011,0.0649,5.097070844065657,100.0,
2026-06-24,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE","Furnishings, loose carpets and rugs",35.382222222222225,0.0011,0.0389204444444444,5.097070844065657,100.0,
2026-06-24,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",Garden and camping furniture,17.245,0.0012,0.020694,5.097070844065657,100.0,
2026-06-24,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE","Glassware, crystal ware, ceramic ware and china ware",1.356666666666667,0.0011,0.0014923333333333,5.097070844065657,100.0,
2026-06-24,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",Heaters and air conditioners,378.8888888888889,0.0031,1.1745555555555556,5.097070844065657,100.0,
2026-06-24,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",Household cleaning and maintenance products,5.533125,0.0115,0.0636309375,5.097070844065657,100.0,
2026-06-24,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",Household furniture,108.9925,0.0083,0.90463775,5.097070844065657,100.0,
2026-06-24,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",Kitchen utensils and articles,15.975,0.0021,0.0335474999999999,5.097070844065657,100.0,
2026-06-24,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",Lighting equipment,12.49,0.0005,0.006245,5.097070844065657,100.0,
2026-06-24,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",Major kitchen appliances,377.2636363636364,0.004,1.5090545454545454,5.097070844065657,100.0,
2026-06-24,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",Major laundry appliances,498.6666666666667,0.0019,0.9474666666666668,5.097070844065657,100.0,
2026-06-24,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",Miscellaneous accessories,3.7825,0.0013,0.00491725,5.097070844065657,100.0,
2026-06-24,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",Motorized tools and equipment,64.53,0.0017,0.1097009999999999,5.097070844065657,100.0,
2026-06-24,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",Non-motorized tools,36.03888888888889,0.0005,0.0180194444444444,5.097070844065657,100.0,
2026-06-24,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",Other non-durable household goods,2.5442857142857145,0.0056,0.014248,5.097070844065657,100.0,
2026-06-24,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",Other small household appliances,48.686875,0.0004,0.01947475,5.097070844065657,100.0,
2026-06-24,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE","Repair, installation and hire of household appliances",13.64,0.0002,0.002728,5.097070844065657,100.0,
2026-06-24,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",Small appliances for the cooking and processing of food,107.49166666666667,0.0005,0.0537458333333333,5.097070844065657,100.0,
2026-06-24,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",Small appliances for the preparation of beverages,24.3175,0.0004,0.009727,5.097070844065657,100.0,
2026-06-24,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",Table linen and bathroom linen,30.875,0.0003,0.0092625,5.097070844065657,100.0,
