ECOICOP2 CODE,Subclass,Division,Weight
CP01250,Water,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0034
CP01260,Soft drinks,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0049
CP01290,Other non-alcoholic beverages,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0011
CP02110,Spirits and liquors,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",0.0053
CP02121,Wine from grapes,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",0.0048
CP02130,Beer,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",0.008
CP02301,Cigarettes,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",0.0301
CP02302,Cigars,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",0.0005
CP02309,Other tobacco products,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",0.0041
CP03121,Garments for men or boys,CLOTHING AND FOOTWEAR,0.0223
CP03122,Garments for women or girls,CLOTHING AND FOOTWEAR,0.0248
CP03123,Garments for infants (under 2 years of age),CLOTHING AND FOOTWEAR,0.0021
CP03124,School uniforms,CLOTHING AND FOOTWEAR,0.0009
CP03131,Other articles of clothing,CLOTHING AND FOOTWEAR,0
CP03141,Cleaning of clothing,CLOTHING AND FOOTWEAR,0.0005
CP03142,"Repair, tailoring and hire of clothing",CLOTHING AND FOOTWEAR,0
CP03211,Footwear for men,CLOTHING AND FOOTWEAR,0.0053
CP03212,Footwear for women,CLOTHING AND FOOTWEAR,0.0056
CP03213,Footwear for infants and children,CLOTHING AND FOOTWEAR,0.002
CP04110,Actual rental payments made by tenants for main residence,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",0
CP04121,Actual rental payments made by tenants for secondary residences,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",0
CP04311,Materials for the maintenance and repair of the dwelling,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",0
CP04312,Security equipment,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",0
CP04320,"Services for the maintenance, repair and security of the dwelling","HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",0
CP04411,Water supply delivered through network systems,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",0.0056
CP04420,Refuse collection,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",0
CP04431,Sewage collection through sewer systems,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",0.0012
CP04441,Charges for maintenance of multi-occupied buildings,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",0
CP04510,Electricity,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",0.0337
CP04522,Liquefied hydrocarbons,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",0.0038
CP04530,Liquid fuels,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",0.0047
CP04542,"Wood fuel, including pellets and briquettes","HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",0
CP04543,Charcoal,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",0.0013
CP05111,Household furniture,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0.0083
CP05112,Garden and camping furniture,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0.0012
CP05113,Lighting equipment,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0.0005
CP05114,"Furnishings, loose carpets and rugs","FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0.0011
CP05211,Furnishing fabrics and curtains,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0.0011
CP05212,Bed linen and bedding,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0.0009
CP05213,Table linen and bathroom linen,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0.0003
CP05311,Major kitchen appliances,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0.004
CP05312,Major laundry appliances,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0.0019
CP05313,Heaters and air conditioners,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0.0031
CP05314,Cleaning equipment,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0.0002
CP05321,Small appliances for the cooking and processing of food,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0.0005
CP05322,Small appliances for the preparation of beverages,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0.0004
CP05329,Other small household appliances,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0.0004
CP05330,"Repair, installation and hire of household appliances","FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0.0002
CP05401,"Glassware, crystal ware, ceramic ware and china ware","FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0.0011
CP05402,"Cutlery, flatware and silverware","FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0.0002
CP05403,Kitchen utensils and articles,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0.0021
CP05510,Motorized tools and equipment,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0.0017
CP05521,Non-motorized tools,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0.0005
CP05522,Miscellaneous accessories,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0.0013
