Name,Subclass,Url,Division,Retailer
Women's cross,Purchase of jewellery and watches,https://constantinou-jewels.com/en/shop-2/jewellery/women/womens-cross-23/,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",Constantinou Jewels
Women's bracelet,Purchase of jewellery and watches,https://constantinou-jewels.com/en/shop-2/jewellery/women/womens-bracelet-19-2/,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",Constantinou Jewels
Women's earrings,Purchase of jewellery and watches,https://constantinou-jewels.com/en/shop-2/jewellery/women/womens-earrings-2-2/,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",Constantinou Jewels
Women's necklace,Purchase of jewellery and watches,https://constantinou-jewels.com/en/shop-2/jewellery/women/womens-necklace-55/,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",Constantinou Jewels
Child ID,Purchase of jewellery and watches,https://constantinou-jewels.com/en/shop-2/jewellery/baby/identity-child/,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",Constantinou Jewels
Μηχανικό μολύβι 0.5 λιλά χρώμα,Stationery and drawing materials,https://www.parga.com.cy/el/grafiki-uli-analosima/-mixaniko-moluvi-05-lila-xroma-114446#sthash.QQDkSC0Z.dpbs,"RECREATION, SPORT AND CULTURE",Parga
Μολύβι γραφής 2H,Stationery and drawing materials,https://www.parga.com.cy/el/grafiki-uli-analosima/-moluvi-grafis-2h-105201#sthash.71ixAVSs.dpbs,"RECREATION, SPORT AND CULTURE",Parga
Στυλό Διαρκείας Μπλέ Bic Cristal Medium,Stationery and drawing materials,https://www.parga.com.cy/el/grafiki-uli-analosima/-stulo-diarkeias-mple-bic-cristal-medium#sthash.5r4Cbgni.dpbs,"RECREATION, SPORT AND CULTURE",Parga
Μαρκαδόρος ασπροπίνακα με στρογγυλή μύτη - μπλε,Stationery and drawing materials,https://www.parga.com.cy/el/grafiki-uli-analosima/-markadoros-aspropinaka-me-strogguli-muti-mple#sthash.pkJSTmCI.dpbs,"RECREATION, SPORT AND CULTURE",Parga
Σετ highlighter Fluo Peps - 4 χρώματα,Stationery and drawing materials,https://www.parga.com.cy/el/grafiki-uli-analosima/-set-highlighter-fluo-peps-4-xromata#sthash.XiPbkH7M.dpbs,"RECREATION, SPORT AND CULTURE",Parga
Σβηστήρι-Γόμα Grip 2001,Stationery and drawing materials,https://www.parga.com.cy/el/grafiki-uli-analosima/-svistiri-goma-grip-2001#sthash.rPlUfKUg.dpbs,"RECREATION, SPORT AND CULTURE",Parga
Διορθωτικό Στυλό 8ml,Stationery and drawing materials,https://www.parga.com.cy/el/grafiki-uli-analosima/-diorthwtiko-stulo-8ml-105086#sthash.l4WbwYF7.dpbs,"RECREATION, SPORT AND CULTURE",Parga
Ψαλίδι essentials 13cm,Stationery and drawing materials,https://www.parga.com.cy/el/grafiki-uli-analosima/-psalidi-essentials-13cm#sthash.umdD4An1.dpbs,"RECREATION, SPORT AND CULTURE",Parga
Χρωματιστοί συνδετήρες 28mm 50 τεμάχια,Stationery and drawing materials,https://www.parga.com.cy/el/grafiki-uli-analosima/-xrwmatistoi-sundetires-28mm-50-temaxia#sthash.9Tds3T5h.dpbs,"RECREATION, SPORT AND CULTURE",Parga
Χρωματιστές καρφίτσες 32mm 25 τεμάχια,Stationery and drawing materials,https://www.parga.com.cy/el/grafiki-uli-analosima/-xrwmatistes-karfitses-32mm-25-temaxia#sthash.TDLyUZfI.dpbs,"RECREATION, SPORT AND CULTURE",Parga
Πιάστρες με διπλό κλιπ 19mm,Stationery and drawing materials,https://www.parga.com.cy/el/grafiki-uli-analosima/-piastres-me-diplo-klip-19mm-112369#sthash.AtGkYlWR.dpbs,"RECREATION, SPORT AND CULTURE",Parga
"Λάστιχα 55mm 50γρ, Μεσαίο μέγεθος",Stationery and drawing materials,https://www.parga.com.cy/el/grafiki-uli-analosima/-lastixa-55mm-50gr-mesaio-megethos#sthash.bOXaugE1.dpbs,"RECREATION, SPORT AND CULTURE",Parga
Χάρτινοι φάκελοι αλληλογραφιάς Α4 - 25 τεμάχια,Stationery and drawing materials,https://www.parga.com.cy/el/grafiki-uli-analosima/-xartinoi-fakeloi-allilografias-a4-25-temaxia-89465#sthash.ElNNCFY4.dpbs,"RECREATION, SPORT AND CULTURE",Parga
Χαρτάκια κίτρινα σημειώσεων 50mm x 75mm,Stationery and drawing materials,https://www.parga.com.cy/el/grafiki-uli-analosima/-xartakia-kitrina-simeiosewn-50mm-x-75mm-74339#sthash.sztVKESR.dpbs,"RECREATION, SPORT AND CULTURE",Parga
Σύρματα συρραπτικών No 10,Stationery and drawing materials,https://www.parga.com.cy/el/grafiki-uli-analosima/-surmata-surraptikon-no-10#sthash.ASsbCJlD.dpbs,"RECREATION, SPORT AND CULTURE",Parga
Μίνι συρραπτικό Νο. 24/6,Stationery and drawing materials,https://www.parga.com.cy/el/grafiki-uli-analosima/-mini-surraptiko-no-24/6-102128#sthash.cRA5RbEt.dpbs,"RECREATION, SPORT AND CULTURE",Parga
Διατρητικό 10 φύλλων,Stationery and drawing materials,https://www.parga.com.cy/el/grafiki-uli-analosima/-diatritiko-10-fullwn-mauro-112290#sthash.pOnCJmno.dpbs,"RECREATION, SPORT AND CULTURE",Parga
Το προξενιό της Ιουλίας,Other books,https://www.parga.com.cy/el/vivlia/9786180134216-giorgos-s-politis-psuxogios-to-proksenio-tis-ioulias#sthash.jM46VUdK.dpbs,"RECREATION, SPORT AND CULTURE",Parga
Το ναυάγιο,Other books,https://www.parga.com.cy/el/vivlia/9786180217780-spuros-petroulakis-minwas-to-nauagio-94690#sthash.fxbLpGnT.dpbs,"RECREATION, SPORT AND CULTURE",Parga
Το μωρό της σοφίτας,Other books,https://www.parga.com.cy/el/katigories-vivliwn/9786180147964-lena-manta-psuxogios-to-mwro-tis-sofitas-111446,"RECREATION, SPORT AND CULTURE",Parga
Από μένα αυτά…,Educational books and textbooks,https://www.parga.com.cy/el/katigories-vivliwn/9786180700718-eleni-glukatzi-ahrweiler1926-ekdoseis-pataki-apo-mena-auta-111120#sthash.roxzjYll.dpbs,"RECREATION, SPORT AND CULTURE",Parga
"Φιλαράκια, εραστές και το μεγάλο, φριχτό πράγμα",Educational books and textbooks,https://www.parga.com.cy/el/katigories-vivliwn/9786185730000-filarakia-erastes-kai-to-megalo-frixto-pragma-113691#sthash.eth4beH6.dpbs,"RECREATION, SPORT AND CULTURE",Parga
Να βρω ξανά του νήματος την άκρη...,Educational books and textbooks,https://www.parga.com.cy/el/katigories-vivliwn/9789601697918-lewn-a-nar1974-ekdoseis-pataki-na-vrw-ksana-tou-nimatos-tin-akri-105869#sthash.jlch3ht0.dpbs,"RECREATION, SPORT AND CULTURE",Parga
Η τέχνη του να έχεις πάντα δίκιο,Educational books and textbooks,https://www.parga.com.cy/el/vivlia/9789601638232-arthur-schopenhauer1788-1860-ekdoseis-pataki-i-texni-tou-na-exeis-panta-dikio#sthash.eHyl6j7m.dpbs,"RECREATION, SPORT AND CULTURE",Parga
Ο πλουσιότερος άνθρωπος της Βαβυλώνας,Educational books and textbooks,https://www.parga.com.cy/el/vivlia/9789603644057-george-s-clason-dioptra-o-plousioteros-anthrwpos-tis-vavulonas#sthash.tnaQR1sI.dpbs,"RECREATION, SPORT AND CULTURE",Parga
Διαλειμματική νηστεία και αποφυγή νόσων,Educational books and textbooks,https://www.parga.com.cy/el/vivlia/9789606151750-sullogiko-ergo-armos-dialeimmatiki-nisteia-kai-apofugi-noswn#sthash.5RKlVFUp.dpbs,"RECREATION, SPORT AND CULTURE",Parga
Διδακτική,Educational books and textbooks,https://www.parga.com.cy/el/katigories-vivliwn/9789606357053-pedio-didaktiki-117698#sthash.08v9rSGu.dpbs,"RECREATION, SPORT AND CULTURE",Parga
Μαθαίνω να φροντίζω τον εαυτό μου,Educational books and textbooks,https://www.parga.com.cy/el/katigories-vivliwn/9786180336856-metaixmio-mathainw-na-frontizw-ton-eauto-mou-114192#sthash.zLzGBdIi.dpbs,"RECREATION, SPORT AND CULTURE",Parga
Ροζάννα,Educational books and textbooks,https://www.parga.com.cy/el/katigories-vivliwn/9786188626249-sofia-politou-ververi-rozanna-111678#sthash.5au5GkgR.dpbs,"RECREATION, SPORT AND CULTURE",Parga
Η παιδεία παίζει,Educational books and textbooks,https://www.parga.com.cy/el/katigories-vivliwn/9786182021231-disigma-i-paideia-paizei-110002#sthash.INu9p1m7.dpbs,"RECREATION, SPORT AND CULTURE",Parga
Το δώρο,Educational books and textbooks,https://www.parga.com.cy/el/vivlia/9786185265175-stefanos-ksenakis-to-doro#sthash.ZgFPtqAg.dpbs,"RECREATION, SPORT AND CULTURE",Parga
Το μυστικό: Καθημερινά μαθήματα ζωής,Educational books and textbooks,https://www.parga.com.cy/el/vivlia/9789605469986-rhonda-byrne-pedio-to-mustiko-kathimerina-mathimata-zwis#sthash.NTAqK7ax.dpbs,"RECREATION, SPORT AND CULTURE",Parga
